date_open,timestamp_open,date_close,timestamp_close,open,high,low,close,volume,total_trades
2023-05-12 00:00:00,1683849600000,2023-05-12 00:14:59,1683850499999,26956.4,26988.3,26936.6,26959.4,0.0,0
2023-05-12 00:15:00,1683850500000,2023-05-12 00:29:59,1683851399999,26959.4,26989.9,26935.9,26941.7,0.0,0
2023-05-12 00:30:00,1683851400000,2023-05-12 00:44:59,1683852299999,26941.8,27018.5,26907.5,27014.8,0.0,0
2023-05-12 00:45:00,1683852300000,2023-05-12 00:59:59,1683853199999,27014.8,27036.7,26990.2,27019.9,0.0,0
2023-05-12 01:00:00,1683853200000,2023-05-12 01:14:59,1683854099999,27020.0,27030.0,26988.8,27013.8,0.0,0
2023-05-12 01:15:00,1683854100000,2023-05-12 01:29:59,1683854999999,27013.7,27090.0,26869.1,26872.5,0.0,0
2023-05-12 01:30:00,1683855000000,2023-05-12 01:44:59,1683855899999,26872.6,26904.9,26850.0,26891.5,0.0,0
2023-05-12 01:45:00,1683855900000,2023-05-12 01:59:59,1683856799999,26891.6,26900.0,26830.0,26865.1,0.0,0
2023-05-12 02:00:00,1683856800000,2023-05-12 02:14:59,1683857699999,26865.1,26876.8,26836.5,26853.9,0.0,0
2023-05-12 02:15:00,1683857700000,2023-05-12 02:29:59,1683858599999,26853.9,26860.2,26816.4,26827.5,0.0,0
2023-05-12 02:30:00,1683858600000,2023-05-12 02:44:59,1683859499999,26827.6,26827.6,26720.9,26800.0,0.0,0
2023-05-12 02:45:00,1683859500000,2023-05-12 02:59:59,1683860399999,26800.0,26815.7,26515.0,26631.9,0.0,0
2023-05-12 03:00:00,1683860400000,2023-05-12 03:14:59,1683861299999,26632.0,26694.4,26571.1,26611.9,0.0,0
2023-05-12 03:15:00,1683861300000,2023-05-12 03:29:59,1683862199999,26611.9,26694.4,26604.9,26693.5,0.0,0
2023-05-12 03:30:00,1683862200000,2023-05-12 03:44:59,1683863099999,26693.5,26695.0,26568.5,26634.3,0.0,0
