,date,profit_a1,profit_a2,total,total_post_fees
0,2023-12-31,0.0,0.0,0.0,0.0
1,2024-01-01,0.0,0.0,0.0,0.0
2,2024-01-02,0.0,0.0,0.0,0.0
3,2024-01-03,0.0,0.0,0.0,0.0
4,2024-01-04,0.0,0.0,0.0,0.0
5,2024-01-05,0.011293112218943913,-0.0070551166719942104,0.004237995546949702,0.002537995546949702
6,2024-01-06,0.011293112218943913,-0.0070551166719942104,0.004237995546949702,0.002537995546949702
7,2024-01-07,0.011293112218943913,-0.0070551166719942104,0.004237995546949702,0.002537995546949702
8,2024-01-08,0.011293112218943913,-0.0070551166719942104,0.004237995546949702,0.002537995546949702
9,2024-01-09,0.011293112218943913,-0.0070551166719942104,0.004237995546949702,0.002537995546949702
10,2024-01-10,0.007374345041723185,-0.0010333247222940045,0.010579015866378882,0.008879015866378882
11,2024-01-11,0.005488266464799274,0.0011266900350526132,0.01719397236623077,0.01549397236623077
12,2024-01-12,0.005488266464799274,0.0011266900350526132,0.01719397236623077,0.01549397236623077
13,2024-01-13,0.00574253107508893,-0.0014218119944993113,0.02151469144682039,0.01981469144682039
14,2024-01-14,0.00574253107508893,-0.0014218119944993113,0.02151469144682039,0.01981469144682039
15,2024-01-15,0.01651029928193304,-0.007151852115855228,0.0308731386128982,0.0291731386128982
16,2024-01-16,0.01651029928193304,-0.007151852115855228,0.0308731386128982,0.0291731386128982
17,2024-01-17,0.01651029928193304,-0.007151852115855228,0.0308731386128982,0.0291731386128982
18,2024-01-18,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
19,2024-01-19,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
20,2024-01-20,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
21,2024-01-21,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
22,2024-01-22,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
23,2024-01-23,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
24,2024-01-24,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
25,2024-01-25,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
26,2024-01-26,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
27,2024-01-27,0.007414491570045589,-0.0033269384880643127,0.034960691694879475,0.033260691694879475
28,2024-01-28,0.01126145414061841,-0.002038662637309896,0.04418348319818799,0.04248348319818799
29,2024-01-29,0.01126145414061841,-0.002038662637309896,0.04418348319818799,0.04248348319818799
30,2024-01-30,0.01126145414061841,-0.002038662637309896,0.04418348319818799,0.04248348319818799
31,2024-01-31,0.01126145414061841,-0.002038662637309896,0.04418348319818799,0.04248348319818799
32,2024-02-01,0.004376023170885257,-0.0014923958876201793,0.04706711048145307,0.04536711048145307
33,2024-02-02,0.004376023170885257,-0.0014923958876201793,0.04706711048145307,0.04536711048145307
34,2024-02-03,0.004376023170885257,-0.0014923958876201793,0.04706711048145307,0.04536711048145307
35,2024-02-04,0.004031380514648686,-0.0006303992528601254,0.05046809174324163,0.04876809174324163
36,2024-02-05,0.004031380514648686,-0.0006303992528601254,0.05046809174324163,0.04876809174324163
37,2024-02-06,0.004031380514648686,-0.0006303992528601254,0.05046809174324163,0.04876809174324163
38,2024-02-07,0.004031380514648686,-0.0006303992528601254,0.05046809174324163,0.04876809174324163
39,2024-02-08,0.004031380514648686,-0.0006303992528601254,0.05046809174324163,0.04876809174324163
40,2024-02-09,0.004031380514648686,-0.0006303992528601254,0.05046809174324163,0.04876809174324163
41,2024-02-10,0.004031380514648686,-0.0006303992528601254,0.05046809174324163,0.04876809174324163
42,2024-02-11,0.004031380514648686,-0.0006303992528601254,0.05046809174324163,0.04876809174324163
43,2024-02-12,0.004629209403648971,-0.0012228860109859685,0.05387441513590463,0.05217441513590463
44,2024-02-13,0.004629209403648971,-0.0012228860109859685,0.05387441513590463,0.05217441513590463
45,2024-02-14,0.004629209403648971,-0.0012228860109859685,0.05387441513590463,0.05217441513590463
46,2024-02-15,0.004629209403648971,-0.0012228860109859685,0.05387441513590463,0.05217441513590463
47,2024-02-16,0.004629209403648971,-0.0012228860109859685,0.05387441513590463,0.05217441513590463
